scenario,policy,policy_seed,workload_seed,generated,delivered,dropped,backlog,delivery_ratio,drop_rate,throughput_packets_per_slot,average_delay_slots,p95_delay_slots,mean_queue_packets,max_queue_packets,routing_switches,episode_reward,global_delay_cost,global_queue_cost,global_load_imbalance,global_switch_cost,global_throughput_reward,global_control_overhead_ratio,global_drop_cost,class_0_delivery_ratio,class_1_delivery_ratio,class_2_delivery_ratio
fr0.00,mappo,1024,19001,192,151,4,37,0.7864583333333334,0.020833333333333332,5.033333333333333,5.6092715231788075,11.0,1.211111111111111,11,24,11.438747055457224,0.18902296293428655,0.02768518518518518,0.7242047880406393,0.05304612870789341,0.3492387596064067,0.05762912847273003,0.00861111111111111,0.8045977011494253,0.7096774193548387,0.8604651162790697
fr0.00,mappo,1024,19002,192,141,1,50,0.734375,0.005208333333333333,4.7,6.50354609929078,11.0,1.4,10,33,8.681761021930214,0.21648979404825255,0.032283950617283945,0.72324722432264,0.07270240237345502,0.3141665814692131,0.05592304758384204,0.0020833333333333333,0.7474747474747475,0.6721311475409836,0.8125
fr0.00,mappo,1024,19003,192,153,0,39,0.796875,0.0,5.1,5.562091503267974,10.0,1.1791666666666667,9,18,12.09640417337548,0.18646894262981797,0.027037037037037037,0.7206111861644,0.04108666660137248,0.34865682520094293,0.05723153759874256,0.0,0.7692307692307693,0.8214285714285714,0.84375
fr0.00,mappo,1024,19004,192,153,0,39,0.796875,0.0,5.1,5.4183006535947715,10.0,1.1722222222222223,9,35,11.17427311952908,0.18305892664753304,0.026882716049382714,0.6931038714959743,0.07485379801943269,0.33339129308943555,0.05460569287378495,0.0,0.8787878787878788,0.7358490566037735,0.675
fr0.00,mappo,1024,19005,192,144,6,42,0.75,0.03125,4.8,5.861111111111111,12.0,1.288888888888889,11,23,9.77807405534745,0.19528719435860076,0.029567901234567904,0.7251989729895177,0.05002675429146017,0.3293091984268456,0.05711809383607858,0.012752011060834591,0.7272727272727273,0.7346938775510204,0.8181818181818182
fr0.00,mappo,1024,19006,192,155,2,35,0.8072916666666666,0.010416666666666666,5.166666666666667,5.748387096774193,11.0,1.2180555555555554,9,30,10.249418678056312,0.21316246227475666,0.027777777777777776,0.6952958558087565,0.06305886164632295,0.33680302025116265,0.05543819937773609,0.0044444444444444444,0.8043478260869565,0.8,0.8285714285714286
fr0.00,mappo,1024,19007,192,150,0,42,0.78125,0.0,5.0,6.04,11.0,1.3,8,30,10.332032006323303,0.20233591499820083,0.02981481481481481,0.708707084090262,0.06517565753246866,0.3300185104712969,0.05542347299577632,0.0,0.7613636363636364,0.8392857142857143,0.75
fr0.00,mappo,1024,19008,192,160,0,32,0.8333333333333334,0.0,5.333333333333333,4.7375,8.0,0.9791666666666666,7,19,13.814061975263401,0.16701418700342707,0.02237654320987655,0.7033201949977991,0.04309940876117346,0.3650544390250273,0.05772822717931469,0.0,0.82,0.8070175438596491,0.9142857142857143
fr0.00,mappo,1024,19009,192,150,3,39,0.78125,0.015625,5.0,5.733333333333333,10.549999999999983,1.2291666666666667,8,23,11.005739909116828,0.19100754182826923,0.02814814814814815,0.7168052017377823,0.05043165984342455,0.34063341070694014,0.05742896081052566,0.006686507936507937,0.8061224489795918,0.6896551724137931,0.8611111111111112
fr0.00,mappo,1024,19010,192,151,0,41,0.7864583333333334,0.0,5.033333333333333,5.344370860927152,9.0,1.1333333333333333,9,20,12.008111552438313,0.18395917500146836,0.026080246913580244,0.7066153435789148,0.04388879910938734,0.34511779070602594,0.05702529618673405,0.0,0.8,0.803921568627451,0.7222222222222222
fr0.00,mappo,1024,19011,192,149,1,42,0.7760416666666666,0.005208333333333333,4.966666666666667,5.906040268456376,10.0,1.2486111111111111,9,19,10.87116775750564,0.19957354139375597,0.028672839506172835,0.7098038856648965,0.04325612296200531,0.3373224759989466,0.05684822812342418,0.0022222222222222222,0.8131868131868132,0.7796610169491526,0.6904761904761905
